,candidato,municipio,local,zona,secao,turno,votos_recebidos,ds_grau_escolaridade_ensino_fundamental_completo,ds_grau_escolaridade_ensino_médio_incompleto,ds_grau_escolaridade_analfabeto,ds_grau_escolaridade_ensino_médio_completo,ds_grau_escolaridade_superior_completo,ds_grau_escolaridade_lê_e_escreve,ds_grau_escolaridade_ensino_fundamental_incompleto,ds_grau_escolaridade_superior_incompleto,ds_raca_cor_não_informado,ds_raca_cor_preta,ds_raca_cor_parda,ds_raca_cor_branca,ds_raca_cor_amarela,ds_raca_cor_indígena,ds_faixa_etaria_45_a_49_anos,ds_faixa_etaria_50_a_54_anos,ds_faixa_etaria_40_a_44_anos,ds_faixa_etaria_21_a_24_anos,ds_faixa_etaria_25_a_29_anos,ds_faixa_etaria_19_anos,ds_faixa_etaria_20_anos,ds_faixa_etaria_18_anos,ds_faixa_etaria_17_anos,ds_faixa_etaria_16_anos,ds_faixa_etaria_55_a_59_anos,ds_faixa_etaria_85_a_89_anos,ds_faixa_etaria_90_a_94_anos,ds_faixa_etaria_80_a_84_anos,ds_faixa_etaria_75_a_79_anos,ds_faixa_etaria_70_a_74_anos,ds_faixa_etaria_65_a_69_anos,ds_faixa_etaria_35_a_39_anos,ds_faixa_etaria_95_a_99_anos,ds_faixa_etaria_100_anos_ou_mais,ds_faixa_etaria_60_a_64_anos,ds_faixa_etaria_30_a_34_anos,ds_faixa_etaria_inválida,ds_genero_feminino,ds_genero_masculino,eleitores_totais,percentual_votos
0,SEBASTIAO BOCALOM RODRIGUES,1392,1953,9,314,1,146,18,83,14,118,17,15,47,25,297,5,28,7,0,0,18,14,23,99,71,2,3,4,1,1,8,0,0,1,4,6,5,24,0,0,16,37,0,181,156,337,0.4332344213649852
1,SEBASTIAO BOCALOM RODRIGUES,1392,1465,1,828,1,114,1,28,2,46,25,1,9,14,58,4,46,18,0,0,6,5,10,13,13,15,16,14,4,4,5,0,0,0,1,0,2,7,0,0,3,8,0,68,58,126,0.9047619047619048
2,SEBASTIAO BOCALOM RODRIGUES,1392,1554,1,169,1,112,9,16,1,37,38,4,10,15,118,1,8,3,0,0,10,18,2,12,11,2,2,0,1,1,13,5,0,1,3,7,11,9,0,0,17,5,0,57,73,130,0.8615384615384616
3,SEBASTIAO BOCALOM RODRIGUES,1392,3336,1,656,1,104,17,64,25,75,16,26,94,12,297,4,23,3,0,2,30,33,55,10,21,4,10,4,2,2,14,5,1,3,5,11,7,60,0,0,21,31,0,180,149,329,0.3161094224924012
4,SEBASTIAO BOCALOM RODRIGUES,1392,2330,9,402,1,119,14,91,15,96,8,13,63,18,307,1,8,0,2,0,23,9,26,81,66,1,1,1,0,0,17,2,0,1,1,5,7,31,0,0,11,35,0,183,135,318,0.3742138364779874
5,SEBASTIAO BOCALOM RODRIGUES,1392,1848,1,508,1,90,12,74,14,54,7,15,53,9,201,3,29,5,0,0,21,11,24,18,63,4,5,6,5,0,9,0,1,3,1,3,6,26,0,0,12,20,0,107,131,238,0.37815126050420167
6,SEBASTIAO BOCALOM RODRIGUES,1392,3468,1,696,1,134,11,42,4,123,55,13,27,65,323,2,12,2,1,0,21,22,21,0,18,1,0,1,3,1,23,2,0,1,8,7,8,61,0,0,12,130,0,175,165,340,0.3941176470588235
7,SEBASTIAO BOCALOM RODRIGUES,1392,3298,1,638,1,145,14,35,1,105,98,14,31,40,309,3,18,8,0,0,27,21,43,14,18,4,3,6,2,1,31,4,2,9,19,14,21,44,0,0,28,27,0,183,155,338,0.4289940828402367
8,SEBASTIAO BOCALOM RODRIGUES,1392,2054,9,297,1,160,23,97,15,75,8,22,66,7,259,7,39,6,1,1,25,20,23,51,89,4,8,6,2,0,9,0,0,0,1,5,1,31,0,0,9,29,0,153,160,313,0.5111821086261981
9,SEBASTIAO BOCALOM RODRIGUES,1392,2240,9,373,1,145,24,67,15,103,12,20,68,20,308,5,16,0,0,0,35,26,42,20,20,3,4,4,2,1,18,1,2,4,1,7,7,54,0,0,9,69,0,175,154,329,0.44072948328267475
